Comment,Sentiment
Dissapointed you did not animate a 13000-dimensional graph. Would make things easier,0
Theory: Karl is a creation made by the dev that was supposed to help you but has gone wrong and is trying to hunt the players and scare them,0
"There is no ""loop hole"" for how Death Stranding made it to Game Pass PC. As some have already commented, 505 owns the PC rights, so they're free to put it on anything they want. Sony owns the console rights to DS, so this is why it will probably never come to Xbox consoles, unfortunately.",0
"When you're watching this as a ""refresher"" but realize you know nothing",0
"I used to sing this song with my bestfriend in the school library...
she passed away because of anorexie and now I sing it alone...
It hurts when you can't do the little things you loved to do with a person anymore right?",0
unreal engine left the chat,0
"*SOME PEOPLE STILL ASK, ""WHY ARE THERE STILL APES (OR MONKEYS)?""*
It should be obvious that such people lack an understanding of what evolution is and how it works. Apparently someone told such people that humans evolved from apes, and from that, due to their lack of education, they assumed that all apes were supposed to evolve into humans. That is not how evolution works, but creationists have no interest in learning anything other than creation mythology. 

They might just as well have asked ""If dogs are descended from wolves, why are there still wolves?"" Or even ""If Americans came from Europe, why are there still Europeans?"" Just as dogs descended from a population of wolves, so too did humans evolve from one particular population of apes. 

What we know is that the first apes evolved in Africa about 25 million years ago from a population of Old World Monkeys. Whereas monkeys run on all four feet across the TOPS of branches, apes evolved the ability to swing, arm over arm, from branch to branch. Evolution works to make each species best suited to their environment. For apes, that environment was the forest and they are well suited for it. At one time there were about 30 different  species of apes in those forests.

Had environmental conditions remained the same, we would still see forests covering the whole African continent. However, conditions did not stay the same; the climate became drier. As a result, forested areas shrank in size and were replaced by grasslands, the African savanna, with just a few scattered trees. The shrinking forests put different ape species in competition with each other and many went extinct.

Then, about 6 or 7 million years ago, one population of apes split, with some of them opting for life on that open savanna. All apes are capable of walking upright, they are just not comfortable doing so for long periods of time.  Recent experiments with trained chimps on a treadmill have shown that for them, walking upright was more efficient in terms of energy expended than quadrupedal walking. Chimps and other apes though must shift their weight from side to side while walking bipedaly.

That savanna environment favored skeletal changes that placed the knees directly under the center of gravity. by about 4 mya, our ancestral australopithecines had almost the same pelvis, femur, knees and feet as modern humans. That gave them a smooth stride that was efficient for long distance travel. They did however, retain long arms and curved fingers enabling them to climb a tree when danger threatened.

The apes that remained in a forest environment were under little pressure to change. They became the ancestors of today's chimps and bonobos. Those living in the open were presented challenges not experienced by woodland apes, and that required greater intelligence and cooperation to overcome them. It set their descendants on a different evolutionary trajectory that culminated in us.",0
This guy's body language tells me that he is uncomfortable with this interview and that he is withholding information.,0
"It completely blows my mind that we can build all of this, much less make it the microscopic size we do.",0
"I love animal videos, but this one has some flat out incorrect information. Elephants for example do not find humans ""cute"". Spreading that kind of information is what leads people to underestimating an animal and getting themselves hurt. Wild animals are just that - wild. They can be socialized, but that does not mean tame or domesticated.",0
"He: puts the cube in the strange shape
Me: being annoyed that he put orange to red",0
It's so sad to see the ones that were truly loved by their elderly owners. They never meant to harm their fur babies.,0
Here in India even 7th class exam comes harder than this,0
"The older I get, I am finding that I Don't have Any patience for cult members who deliberately choose to be stupid. I can't even watch it.",0
"Since I started watching your channel the phrase ""threatens nasty discoveries"" has been lodged so deep in my mind, I will be dreaming it constantly till I die.",0
"""spare change"" investible assets will be vastly curtailed. ""Stores of Value"" will be tapped to pay for increased prices.",0
"As inflation soars and the economy slows, be sure to thank your local Liberal member of parliament or your local NDP member of parliament.

Because inflation is the DIRECT result of Liberal federal government monetary policy, with such policies shamelessly supported by the NDP.",0
"I still remember the last chess tournament I played in.  I competed against 9 opponents at the same time, while blindfolded.   Lost every game!
Gotta have goals!",0
"if anyone wanted to see something cursed, here it is:


faze n3on",0
"As a competitive cuber I can see how he does some of his tricks, but still a ton of them are just insane",0
"I don't know why scientists have not done DNA testing on such art works,  it is obvious that they used saliva to mix the pigments to make their paintings.",0
"So apparently the Japanese 7-Eleven's are like mini to-go restaurants, while the ones in the US serve packaged processed food, or reheated frozen processed garbage. It's almost an insult to call them the same store, how do we let them get away with this crap here?",0
I think why Binance is killing it is that they are currently charging no fees for BTC trading.,0
Nothing hurts more than being on the last step and then messing up the algorithm,0
"if anything, I feel bad for Nico. Being so paranoid and insecure that she automatically assumes everyone is harassing her, regardless of what's being said. Even someone with the same name was enough to make her feel threatened. Must be so draining, you know? No wonder she sounds like she's always on the verge of tears. She's also a discord mod, so no surprise there. I hope she gets the help she needs.",0
"A wise man once said:

*""NOW THAT'S A LOT OF DAMAGE""*",0
I literally can't miss any second or I'll miss an entire civilization,0
"The states deregulated tuition and fees so the colleges could charge more. Then, they used that money to hire more administrators and build more buildings. The students are not just paying for their education. They are also paying for all the things the colleges wanted, but the states did not want to give them money for. Nobody talks about that.",0
"I think she's talking about software engineering education, not computer science education. Math is an integral part of computer science, because math is the language of science. If you took math from computer science, by definition, you took science out of computer science, which is quite bizarre.",0
"""Rollie wrist I'm the shit, 21 w no kids, Bouta rain on a bitch, I'ma rain on a bitch"" My favorite part 1:08",0
"You put the result in the thumbnail of another video, so ruins the entertainment completely. Thanks",0
"Fun cheats:
-In Bioshock, when the player recieves lethal damage, he gets a few seconds of god mode, leading to more ""barely survived"" moments.
-In Gears of War, the last bullet in a magazine deals 3x damage, leading to more ""barely defended myself"" moments.",0
"When u are unhappy with the current situation, u don't further destroy what's left of the economy, but u can cut ties with the ANC and put your hat in the ring in 2024, it's as simple as that",0
"I think anyone who has spent time working in a modern, agile corporate environment could tell you the crux of the problem in an instant: we no longer plan past the next quarter.  ""Supply chain bottleneck"" is just another way of saying that we let the beancounters run the show, and they were good at it right until something happened which they could neither model nor predict (cerveza).   The system is brittle by design, because it's so much cheaper that way.    Nuclear energy runs counter to this business ethos:  it's a huge engineering lift, it takes 20 years to pay itself off, you need a trained workforce with domestic production and fabrication capacity that can forge the parts, machine them, weld them, then certify and maintain them over a period of 40+ years.  Instead we've been gleefully shutting profitable factories at home, gutting workforces, funneling everyone into college resulting in massive brain drain / skill loss as the old timers machinists retire, but hey, we delivered a lot of value for shareholders.   And now the chickens are coming home to roost.",0
I can't imagine the desperation.,0
